MSFT (Microsoft Corporation),110.19,0
Nov 30 2018 @ 06:48 ET,Bid,110.29,Ask,109.87,Size,2x1,Vol,28123195
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
11/30/2018,MSFT181130C00120000,0.03,0,0,0.02,0,0.6469,0.0072,0.0053,676,120.000,MSFT181130P00120000,17.05,0,7.7,11.75,0,0.05,-1,0.0093,16
11/30/2018,MSFT181130C00121000,0.01,0,0,0.02,34,0.7433,0.0098,0.006,408,121.000,MSFT181130P00121000,0,0,8.6,12.55,0,0.05,-0.9675,0.0136,1
11/30/2018,MSFT181130C00122000,0.01,0,0,0.02,99,0.7625,0.0066,0.0042,252,122.000,MSFT181130P00122000,0,0,16.8,13.85,0,0.05,-0.6867,0.0183,4
11/30/2018,MSFT181130C00123000,0,0,0,0.13,0,0.8106,0.0059,0.0035,31,123.000,MSFT181130P00123000,0,0,10.7,14.7,0,0.05,-0.9892,0.0055,0
11/30/2018,MSFT181130C00124000,0.01,0,0,0.01,0,0.8052,0.0032,0.0021,9,124.000,MSFT181130P00124000,0,0,11.65,15.55,0,0.05,-1,0,0
11/30/2018,MSFT181130C00125000,0.02,0,0,0.03,0,0.9362,0.0061,0.0031,74,125.000,MSFT181130P00125000,0,0,12.7,16.5,0,0.05,-0.9933,0.0035,2
11/30/2018,MSFT181130C00126000,0,0,0,0.03,22,0.9863,0.0057,0.0028,24,126.000,MSFT181130P00126000,0,0,13.75,17.5,0,0.05,-1,0,1
12/07/2018,MSFT181207C00075000,0,0,33.3,37.7,0,2.3031,0.8582,0.005,5,75.000,MSFT181207P00075000,0,0,0,0.06,0,0.974,-0.0057,0.001,0
12/07/2018,MSFT181207C00075500,0,0,32.5,33,0,0.05,0,0,0,75.500,MSFT181207P00075500,0,0,0,0.74,0,1.2778,-0.0261,0.0029,0
12/07/2018,MSFT181207C00076000,0,0,31.75,32.55,0,0.05,0,0,0,76.000,MSFT181207P00076000,0,0,0,2.12,0,1.5756,-0.0559,0.0043,0
12/07/2018,MSFT181207C00076500,0,0,31.5,31.15,0,0.05,0,0,0,76.500,MSFT181207P00076500,0,0,0,0.74,0,0.9848,-0.0088,0.0015,0
12/07/2018,MSFT181207C00077000,0,0,30.7,30.65,0,0.05,0,0,0,77.000,MSFT181207P00077000,0,0,0,0.6,0,0.9689,-0.0091,0.0015,3
12/07/2018,MSFT181207C00077500,0,0,30,30.15,0,0.05,0,0,0,77.500,MSFT181207P00077500,0,0,0,0.1,0,0.9501,-0.0092,0.0016,4
12/07/2018,MSFT181207C00078000,0,0,30,31,0,0.05,0,0,0,78.000,MSFT181207P00078000,0,0,0,0.04,0,0.8351,-0.0045,0.001,7
12/07/2018,MSFT181207C00078500,0,0,29.35,29.9,0,0.05,0,0,0,78.500,MSFT181207P00078500,0,0,0,0.72,0,0.9149,-0.0093,0.0017,0
12/07/2018,MSFT181207C00079000,0,0,28.75,29.55,0,0.05,0,0,0,79.000,MSFT181207P00079000,0,0,0,0.75,0,0.8985,-0.0095,0.0017,0
